Time, CommittedHeap, InitialHeap, MaxHeap, UsedHeap, threadCount, peakThreadCount, DeamonThreadCount, CurrentThreadCount, CurrentThreadsBusy, MaxThreads, ConnectorAcceptCount, ConnectorMaxThreads, ConnectorMinSpareThreads
10:37:33, 960757760, 1073741824, 1483866112, 562448024, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:37:57, 990511104, 1073741824, 1483866112, 454956320, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:38:20, 990511104, 1073741824, 1483866112, 525048912, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:38:43, 950927360, 1073741824, 1483866112, 419618024, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:39:06, 950927360, 1073741824, 1483866112, 490042296, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:39:28, 978059264, 1073741824, 1483866112, 402882432, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:39:51, 978059264, 1073741824, 1483866112, 472894088, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:40:13, 978059264, 1073741824, 1483866112, 542591520, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:40:37, 944373760, 1073741824, 1483866112, 450685432, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:40:59, 944373760, 1073741824, 1483866112, 522982792, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:41:22, 983171072, 1073741824, 1483866112, 427545256, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:41:46, 983171072, 1073741824, 1483866112, 501528912, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:42:10, 979894272, 1073741824, 1483866112, 409524136, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:42:34, 979894272, 1073741824, 1483866112, 480979384, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:42:57, 979894272, 1073741824, 1483866112, 552247168, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:43:20, 989134848, 1073741824, 1483866112, 459051504, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:43:44, 989134848, 1073741824, 1483866112, 529349288, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:44:06, 986382336, 1073741824, 1483866112, 420530232, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:44:28, 986382336, 1073741824, 1483866112, 509967456, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:44:50, 986382336, 1073741824, 1483866112, 583337664, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:45:14, 992083968, 1073741824, 1483866112, 466554216, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:45:36, 992083968, 1073741824, 1483866112, 536535344, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:45:58, 990117888, 1073741824, 1483866112, 425578992, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:46:21, 990117888, 1073741824, 1483866112, 497377240, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:46:43, 990117888, 1073741824, 1483866112, 568422744, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:47:06, 992346112, 1073741824, 1483866112, 449892664, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:47:29, 992346112, 1073741824, 1483866112, 523012760, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:47:53, 992346112, 1073741824, 1483866112, 592295344, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:48:15, 992018432, 1073741824, 1483866112, 469907520, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:48:39, 992018432, 1073741824, 1483866112, 542083568, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:49:02, 992411648, 1073741824, 1483866112, 420314104, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:49:26, 992411648, 1073741824, 1483866112, 510615296, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:49:48, 992411648, 1073741824, 1483866112, 580817200, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:50:11, 992411648, 1073741824, 1483866112, 451082472, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:50:36, 992411648, 1073741824, 1483866112, 525639488, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:51:00, 992411648, 1073741824, 1483866112, 596209616, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:51:23, 994181120, 1073741824, 1483866112, 481687776, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:51:47, 994181120, 1073741824, 1483866112, 553384208, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:52:10, 981925888, 1073741824, 1483866112, 430504544, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:52:34, 981925888, 1073741824, 1483866112, 502484608, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:52:57, 981925888, 1073741824, 1483866112, 573490624, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:53:20, 993722368, 1073741824, 1483866112, 446683968, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:53:43, 993722368, 1073741824, 1483866112, 516024432, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:54:06, 993722368, 1073741824, 1483866112, 589093080, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:54:29, 993722368, 1073741824, 1483866112, 481941296, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:54:53, 993722368, 1073741824, 1483866112, 550170840, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:55:16, 994770944, 1073741824, 1483866112, 422743408, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:55:38, 994770944, 1073741824, 1483866112, 490508336, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:56:00, 994770944, 1073741824, 1483866112, 561312168, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:56:23, 993787904, 1073741824, 1483866112, 433532816, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:56:46, 993787904, 1073741824, 1483866112, 502969296, 49, 49, 47, 25, 3, 150, 100, 150, 25,
